iter	MultiClass
0	1.640202474
1	1.409031051
2	1.250234175
3	1.126577156
4	1.030948537
5	0.9488148971
6	0.8866242127
7	0.8295583095
8	0.7816125206
9	0.7387609517
10	0.6993005543
11	0.6679954783
12	0.637981839
13	0.6114483204
14	0.588570482
15	0.5664157264
16	0.5476752843
17	0.5304933264
18	0.5139067432
19	0.4985184716
20	0.4846639394
21	0.4728332494
22	0.461310819
23	0.4519466554
24	0.442960525
25	0.4343654739
26	0.4256146996
27	0.4174058221
28	0.4112896002
29	0.4051301541
30	0.3985175755
31	0.3933407945
32	0.3880390039
33	0.3834312623
34	0.3789624361
35	0.3740062561
36	0.3698312661
37	0.3662086832
38	0.3630794586
39	0.3596084189
40	0.3563433429
41	0.352701082
42	0.3496856584
43	0.3465960208
44	0.3440298189
45	0.3415751035
46	0.3399197933
47	0.3367578958
48	0.3343510113
49	0.3323475224
50	0.3302737971
51	0.3285583111
52	0.3265209775
53	0.3240640556
54	0.3221197525
55	0.3205120739
56	0.318670199
57	0.3170229434
58	0.3156355612
59	0.3144231216
60	0.31254195
61	0.3110982044
62	0.3099391014
63	0.3086294465
64	0.3071410761
65	0.3054621686
66	0.3041882387
67	0.3031397146
68	0.3021009076
69	0.3012692996
70	0.3004909637
71	0.2988593068
72	0.2978460596
73	0.2967688727
74	0.2954931856
75	0.2942145847
76	0.29301037
77	0.2922615502
78	0.2909789649
79	0.2900256822
80	0.2891611445
81	0.2880180562
82	0.2870447743
83	0.2863117732
84	0.285471541
85	0.284677426
86	0.2838901045
87	0.2829729203
88	0.2816657045
89	0.2805820311
90	0.279474433
91	0.2785661855
92	0.2778945755
93	0.2769784242
94	0.2762541801
95	0.275737146
96	0.2750647488
97	0.273862822
98	0.2729198455
99	0.2723668236
100	0.271535038
101	0.270820625
102	0.2702827829
103	0.2695865247
104	0.2688982058
105	0.2682157221
106	0.2676022909
107	0.266988225
108	0.2663452156
109	0.265733832
110	0.2652053368
111	0.2644689227
112	0.2639571
113	0.2633866627
114	0.262567414
115	0.2620538356
116	0.2614883178
117	0.2610691703
118	0.260539548
119	0.2600467041
120	0.2596274969
121	0.2590773072
122	0.2582394159
123	0.2578391502
124	0.2573414763
125	0.2567595942
126	0.2561748456
127	0.255594333
128	0.2552402275
129	0.2547708116
130	0.2543802256
131	0.2537033425
132	0.2532664379
133	0.2528459977
134	0.2524889172
135	0.2520653162
136	0.2516737005
137	0.2512081333
138	0.2506107881
